WeatherPy_Database.csv,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,Zapolyarnyy,69.4154,30.8136,23.0,86,40,16.11,RU,2021-02-07 09:35:21
257,Baykit,61.67,96.37,24.64,95,100,3.71,RU,2021-02-07 09:35:37
258,Te Anau,-45.4167,167.7167,56.79,74,81,4.25,NZ,2021-02-07 09:24:52
259,Esperance,-33.8667,121.9,66.2,72,90,17.27,AU,2021-02-07 09:30:35
260,Erzin,36.9559,36.2,66.2,68,20,12.66,TR,2021-02-07 09:35:38
261,Yendi,9.4427,-0.0099,91.26,43,87,5.68,GH,2021-02-07 09:35:38
262,Cadillac,44.2519,-85.4012,-0.4,85,40,4.61,US,2021-02-07 09:35:38
263,Zhangye,38.9342,100.4517,41.77,45,43,2.06,CN,2021-02-07 09:32:46
264,Fallon,39.4735,-118.7774,39.99,69,1,8.05,US,2021-02-07 09:35:38
265,Gushi,34.6425,109.5843,55.51,34,89,5.61,CN,2021-02-07 09:35:38
266,Ludvika,60.1496,15.1878,16.0,79,13,8.05,SE,2021-02-07 09:35:39
267,Saly,47.95,20.6667,32.94,90,100,8.97,HU,2021-02-07 09:35:39
268,Cao Bang,22.6667,106.25,78.93,47,19,5.64,VN,2021-02-07 09:35:12
269,Sungaipenuh,-2.0833,101.3833,74.89,71,96,3.89,ID,2021-02-07 09:35:25
270,Coruripe,-10.1256,-36.1756,79.41,77,94,11.81,BR,2021-02-07 09:34:50
271,Totness,5.8833,-56.3167,75.43,90,74,10.0,SR,2021-02-07 09:34:15
272,Noumea,-22.2763,166.4572,80.01,94,90,3.44,NC,2021-02-07 09:34:30
273,Saldanha,-33.0117,17.9442,77.0,50,39,17.27,ZA,2021-02-07 09:31:54
274,Lima,-12.0432,-77.0282,73.0,78,75,4.61,PE,2021-02-07 09:29:43
275,Namibe,-15.1961,12.1522,73.4,73,75,9.71,AO,2021-02-07 09:35:40
276,Sillod,20.3,75.65,82.4,26,2,2.3,IN,2021-02-07 09:34:23
277,Tazovskiy,67.4667,78.7,-18.45,86,100,16.84,RU,2021-02-07 09:35:40
278,Ujjain,23.1833,75.7667,71.6,17,0,4.61,IN,2021-02-07 09:35:40
279,Kruisfontein,-34.0033,24.7314,80.01,58,0,8.99,ZA,2021-02-07 09:32:31
280,Iqaluit,63.7506,-68.5145,24.8,54,1,14.97,CA,2021-02-07 09:31:33
281,Vallenar,-28.5708,-70.7581,55.6,83,0,1.43,CL,2021-02-07 09:35:02
282,Cotonou,6.3654,2.4183,84.2,84,40,3.44,BJ,2021-02-07 09:35:41
283,Marrakesh,31.6315,-8.0083,51.8,76,75,3.44,MA,2021-02-07 09:34:13
284,High Level,58.5169,-117.136,-40.0,67,1,3.44,CA,2021-02-07 09:31:53
285,Mehendiganj,22.8167,90.5333,77.77,34,29,9.86,BD,2021-02-07 09:35:41
286,Buchanan,5.8808,-10.0467,77.0,94,40,3.44,LR,2021-02-07 09:35:41
287,Cherskiy,68.75,161.3,-2.74,79,0,4.63,RU,2021-02-07 09:32:02
288,Coquimbo,-29.9533,-71.3436,55.4,88,20,2.3,CL,2021-02-07 09:24:51
289,Marakkanam,12.2,79.95,80.92,55,10,19.04,IN,2021-02-07 09:34:23
290,Zhigansk,66.7697,123.3711,-29.27,82,100,15.73,RU,2021-02-07 09:31:34
